product_url,product_name,mrp,rating,no_of_reviews,description
https://www.homedepot.com/p/Lutron-Diva-Smart-Dimmer-Switch-Starter-Kit-for-Caseta-Smart-Lighting-with-Smart-Hub-Pico-Remote-150-Watt-LED-DVRF-BDG-1D-DVRF-BDG-1D/321137099,"Diva Smart Dimmer Switch Starter Kit for Caseta Smart Lighting, with Smart Hub + Pico Remote, 150-Watt LED (DVRF-BDG-1D)",119,4.9,139,"Paddle style smart dimmer switch with soft-glow light bar
Works with 150W LED bulbs or 600W incandescent bulbs
Works w/Alexa, Google, Apple Home, Ring, and more
"
https://www.homedepot.com/p/Google-WiFi-Mesh-Router-AC1200-Powered-Adapter-White-3-Pack-GA02434-US/314658117,WiFi - Mesh Router AC1200 - Powered Adapter - White - (3-Pack),149,4.1,1064,"Blankets your home in fast, reliable Wi-Fi coverage
Simple setup in a few steps using the Google Home app
Parental controls give you easy access to pause Wi-Fi
"
https://www.homedepot.com/p/Century-Matte-Black-Electronic-Connect-Smart-Deadbolt-with-Alarm-Z-Wave-Plus-Enabled-BE469ZP-CEN-622/308496991,Century Matte Black Electronic Connect Smart Deadbolt with Alarm - Z-Wave Plus Enabled,221,4.3,26,"Smart Home hub required
Works with Amazon Alexa, Nexia, Samsung SmartThings, Wink, & more
Built-in alarm provides added security to your home
"
https://www.homedepot.com/p/Camelot-Bright-Brass-Electronic-Connect-Smart-Deadbolt-with-Alarm-Z-Wave-Plus-Enabled-BE469ZP-CAM-605/308496330,Camelot Bright Brass Electronic Connect Smart Deadbolt with Alarm - Z-Wave Plus Enabled,242,4.4,90,"Smart Home hub required
Works with Amazon Alexa, Nexia, Samsung SmartThings, Wink, & more
Built-in alarm provides added security to your home
"
https://www.homedepot.com/p/Bosch-BCC100-Connected-Control-7-Day-Wi-Fi-Internet-4-Stage-Programmable-Color-Touchscreen-Thermostat-with-Weather-Access-BCC-100/303207443,BCC100 Connected Control 7-Day Wi-Fi Internet 4-Stage Programmable Color Touchscreen Thermostat with Weather Access,157,4.2,92,"Touchscreen thermostat with weather and temperature monitoring
C-wire configuration required to power the thermostat
Compatible with Amazon Alexa and Google Assistant
"
https://www.homedepot.com/p/Blink-Mini-Indoor-Wired-1080p-Wi-Fi-Security-Camera-in-White-B07X6C9RMF/313600685,Mini Indoor Wired 1080p Wi-Fi Security Camera in White,24,4.3,462,"1080P HD indoor security camera w/ motion detection, 2-way audio
Customize detection zones and get notifications
Sets up easily and pairs with Alexa-enabled devices
"
https://www.homedepot.com/p/Blink-Mini-Indoor-Wireless-1080p-Wi-Fi-Security-Camera-in-Black-B09N6V1FHG/320158140,Mini Indoor Wireless 1080p Wi-Fi Security Camera in Black,24,4.3,447,"1080P HD indoor security camera w/ motion detection, 2-way audio
Customize detection zones and get notifications
Sets up easily and pairs with Alexa-enabled devices
"
https://www.homedepot.com/p/Defender-4K-Vision-AI-Smart-Artificial-Intelligence-1TB-DVR-Security-System-with-4-Deterrence-Cameras-Human-Vehicle-Detection-4K1T4B4V2/313806404,"4K Vision AI Smart Artificial Intelligence 1TB DVR Security System with 4 Deterrence Cameras, Human & Vehicle Detection",219,4.5,501,"4K ultra-HD crystal clear resolution with night vision
See clearly at night with night vision up to 100 ft.
408 hours of built-in storage and no monthly fees
"
https://www.homedepot.com/p/Schlage-Camelot-Bright-Brass-Electronic-Connect-Smart-Deadbolt-Z-Wave-Plus-Enabled-BE468-CAM-605/308496205,Camelot Bright Brass Electronic Connect Smart Deadbolt - Z-Wave Plus Enabled,219,4.4,46,"Smart Home hub required
Works with Amazon Alexa, Nexia, Samsung SmartThings, Wink, & more
Stores up to 30 unique access codes to share with friends/family
"
https://www.homedepot.com/p/Kwikset-Powerbolt2-Venetian-Bronze-Single-Cylinder-Keypad-Electronic-Deadbolt-Featuring-SmartKey-and-Balboa-Passage-Lever-907PBT200BL11P/308482943,Powerbolt2 Venetian Bronze Single Cylinder Keypad Electronic Deadbolt Featuring SmartKey and Balboa Passage Lever,96,4.5,233,"Keyless entry for easy access
Compatible with Kwikset technology
Designed to protect against advanced break-ins
"
